state,block_count,total_pop,matched_pop,total_matched_pop_share,redist_match_numbers_pop_overlap
AL,185976,5024279,4363783,0.8685391476070496,0.8685391476070496
CA,519723,39538223,30774022,0.7783359914784233,0.7783359914784233
FL,390066,21538187,16202593,0.7522728352205318,0.7522728352205318
LA,142874,4657757,3160278,0.6784978263142538,0.6784978263142538
MO,253632,6154913,4735671,0.7694131501127636,0.7694131501127636
NC,236638,10439388,9896007,0.9479489602264041,0.9479489602264041
OH,276428,11799448,10321158,0.874715325666082,0.874715325666082
TN,179717,6910840,4551735,0.6586370108409397,0.6586370108409397
TX,668757,29145505,19467949,0.6679571686954815,0.6679571686954815
UT,71207,3271616,1802499,0.5509506616913477,0.5509506616913477
