state,district,candidate,party,ballotpedia_status,election_phase,source_url
Alabama,District 1,Barry Moore,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Alabama,_2026"
California,District 11,Nancy Pelosi,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026"
California,District 26,Julia Brownley,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026"
California,District 48,Darrell Issa,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026"
Florida,District 11,Daniel Webster,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026"
Florida,District 16,Vern Buchanan,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026"
Florida,District 19,Byron Donalds,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026"
Florida,District 2,Neal Dunn,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Florida,_2026"
Louisiana,District 5,Julia Letlow,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Louisiana,_2026"
Missouri,District 6,Sam Graves,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Missouri,_2026"
Tennessee,District 9,Steve Cohen,Democratic Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Tennessee,_2026"
Texas,District 19,Jodey Arrington,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 21,Chip Roy,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 22,Troy Nehls,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 23,Tony Gonzales,NA,did_not_make_ballot,Primary runoff,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 30,Jasmine Crockett,Democratic Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 33,Marc Veasey,Democratic Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 35,Greg Casar,Democratic Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 37,Lloyd Doggett,Democratic Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 38,Wesley Hunt,Republican Party,did_not_make_ballot,Republican primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Texas,District 9,Al Green,Green Party,did_not_make_ballot,Democratic primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026"
Utah,District 4,Burgess Owens,NA,did_not_make_ballot,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Utah,_2026"
