map,state,old_district_id,new_district_id,analysis_district_source,matched_new_district_id,candidate_running_district_id,ballotpedia_status,election_phase,candidate_source_url,house_winner,house_winner_party,incumbent,old_presidential_winner,new_presidential_winner,split_ticket_type,old_harris_margin_pts,new_harris_margin_pts,harris_margin_shift_pts,old_incumbent_party_margin_pts,new_incumbent_party_margin_pts,incumbent_party_margin_shift_pts,redistricting_made_seat_harder,old_presidential_lean_against_house_winner,new_presidential_lean_against_house_winner,old_district_retained_share,new_district_from_old_share
"After redistricting, with Alabama change",NC,NC-1,NC-1,No Ballotpedia incumbent match; using population-matched successor,NC-1,NA,NA,NA,NA,DONALD G. DAVIS,D,Don Davis,Trump,Trump,Democrat won Trump district,-3.095565265140865,-11.587760438532309,-8.492195173391444,-3.095565265140865,-11.587760438532309,-8.492195173391444,TRUE,TRUE,TRUE,0.6356431129051725,0.6356422604607126
"After redistricting, with Alabama change",TX,TX-34,TX-34,Ballotpedia active incumbent running district,TX-34,TX-34,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",VICENTE GONZALEZ,D,Vicente Gonzalez,Trump,Trump,Democrat won Trump district,-4.430732250688862,-10.127150709765408,-5.696418459076546,-4.430732250688862,-10.127150709765408,-5.696418459076546,TRUE,TRUE,TRUE,0.6161395173581821,0.6161395173581821
"After redistricting, with Alabama change",OH,OH-9,OH-9,Ballotpedia active incumbent running district,OH-9,OH-9,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",MARCY KAPTUR,D,Marcy Kaptur,Trump,Trump,Democrat won Trump district,-6.710452907316483,-10.579604816090718,-3.869151908774235,-6.710452907316483,-10.579604816090718,-3.869151908774235,TRUE,TRUE,TRUE,0.8971320697151138,0.8971320697151138
"After redistricting, with Alabama change",TX,TX-28,TX-28,Ballotpedia active incumbent running district,TX-28,TX-28,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",HENRY CUELLAR,D,Henry Cuellar,Trump,Trump,Democrat won Trump district,-7.2889208403227155,-10.367872809772422,-3.0789519694497063,-7.2889208403227155,-10.367872809772422,-3.0789519694497063,TRUE,TRUE,TRUE,0.5360886168865965,0.5360886168865965
"After redistricting, with Alabama change",CA,CA-13,CA-13,Ballotpedia active incumbent running district,CA-13,CA-13,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",ADAM GRAY,D,Adam Gray,Trump,Harris,Democrat won Trump district,-5.426898660414353,0.49385446921464154,5.920753129628994,-5.426898660414353,0.49385446921464154,5.920753129628994,FALSE,TRUE,FALSE,0.8001203012217605,0.8098886674890091
"After redistricting, with Alabama change",CA,CA-9,CA-9,Ballotpedia active incumbent running district,CA-9,CA-9,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JOSH HARDER,D,Josh Harder,Trump,Harris,Democrat won Trump district,-1.7765091807608768,11.425964206566476,13.202473387327354,-1.7765091807608768,11.425964206566476,13.202473387327354,FALSE,TRUE,FALSE,0.7167391267261483,0.7163894066245978
"After redistricting, without Alabama change",NC,NC-1,NC-1,No Ballotpedia incumbent match; using population-matched successor,NC-1,NA,NA,NA,NA,DONALD G. DAVIS,D,Don Davis,Trump,Trump,Democrat won Trump district,-3.095565265140865,-11.587760438532309,-8.492195173391444,-3.095565265140865,-11.587760438532309,-8.492195173391444,TRUE,TRUE,TRUE,0.6356431129051725,0.6356422604607126
"After redistricting, without Alabama change",TX,TX-34,TX-34,Ballotpedia active incumbent running district,TX-34,TX-34,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",VICENTE GONZALEZ,D,Vicente Gonzalez,Trump,Trump,Democrat won Trump district,-4.430732250688862,-10.127150709765408,-5.696418459076546,-4.430732250688862,-10.127150709765408,-5.696418459076546,TRUE,TRUE,TRUE,0.6161395173581821,0.6161395173581821
"After redistricting, without Alabama change",OH,OH-9,OH-9,Ballotpedia active incumbent running district,OH-9,OH-9,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Ohio,_2026",MARCY KAPTUR,D,Marcy Kaptur,Trump,Trump,Democrat won Trump district,-6.710452907316483,-10.579604816090718,-3.869151908774235,-6.710452907316483,-10.579604816090718,-3.869151908774235,TRUE,TRUE,TRUE,0.8971320697151138,0.8971320697151138
"After redistricting, without Alabama change",TX,TX-28,TX-28,Ballotpedia active incumbent running district,TX-28,TX-28,active,General election,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",HENRY CUELLAR,D,Henry Cuellar,Trump,Trump,Democrat won Trump district,-7.2889208403227155,-10.367872809772422,-3.0789519694497063,-7.2889208403227155,-10.367872809772422,-3.0789519694497063,TRUE,TRUE,TRUE,0.5360886168865965,0.5360886168865965
"After redistricting, without Alabama change",CA,CA-13,CA-13,Ballotpedia active incumbent running district,CA-13,CA-13,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",ADAM GRAY,D,Adam Gray,Trump,Harris,Democrat won Trump district,-5.426898660414353,0.49385446921464154,5.920753129628994,-5.426898660414353,0.49385446921464154,5.920753129628994,FALSE,TRUE,FALSE,0.8001203012217605,0.8098886674890091
"After redistricting, without Alabama change",CA,CA-9,CA-9,Ballotpedia active incumbent running district,CA-9,CA-9,active,Primary,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_California,_2026",JOSH HARDER,D,Josh Harder,Trump,Harris,Democrat won Trump district,-1.7765091807608768,11.425964206566476,13.202473387327354,-1.7765091807608768,11.425964206566476,13.202473387327354,FALSE,TRUE,FALSE,0.7167391267261483,0.7163894066245978
